"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value"
"2007","Hungary","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","4.54038"
"2007","Hungary","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","110.23759"
"2007","Malta","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Malta","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Malta","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Malta","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Malta","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Malta","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Netherlands","Carbon dioxide","Total - all NACE activities","Thousand tonnes","167,758.359"
"2007","Netherlands","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","19,634.36376"
"2007","Netherlands","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","12,332.9854"
"2007","Netherlands","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","1,770.55453"
"2007","Netherlands","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","433.70163"
"2007","Netherlands","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Austria","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Austria","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Austria","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Austria","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Austria","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Austria","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Poland","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Poland","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Poland","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Poland","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Poland","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Poland","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Portugal","Carbon dioxide","Total - all NACE activities","Thousand tonnes","53,908.5"
"2007","Portugal","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","12,306.95"
"2007","Portugal","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","3,660.6022"
"2007","Portugal","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","702.5187"
"2007","Portugal","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","4.7439"
"2007","Portugal","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","31.3801"
"2007","Romania","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Romania","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Romania","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Romania","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Romania","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Romania","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovenia","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovenia","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovenia","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovenia","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovenia","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovenia","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovakia","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovakia","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovakia","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovakia","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovakia","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Slovakia","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Finland","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Finland","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Finland","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Finland","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Finland","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Finland","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Sweden","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Sweden","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Sweden","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Sweden","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Sweden","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Sweden","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","United Kingdom","Carbon dioxide","Total - all NACE activities","Thousand tonnes","466,344.611"
