Dim.1
quanti
   ;correlation;p.value;
CSP8PR=CSP8PR_1;0.4394;0;
CS42PR=CS42PR_12;0.6855;0;
Surfhab=Surfhab_160;0.2756;0;
AGEPR=AGEPR_93;0.6533;0;
TAU=TAU_7;0.0795;0;
Surfhab=Surfhab_96;0.3637;0;
Ancons=Ancons_4;0.1915;0;
QNIVIE2=QNIVIE2_2;0.0423;0;
Surfhab=Surfhab_119;0.6619;0;
Surfhab=Surfhab_164;0.8581;0;
CONFORT1=CONFORT1_0;0.071;0;
CONFORT.MOY=CONFORT.MOY_1;0.2148;0;
Surfhab=Surfhab_112;0.8402;0;
Aise=Aise_8;0.4956;0;
NENFACT=NENFACT_1;0.1832;0;
Surfhab=Surfhab_159;0.7843;0;
Niveau=Niveau_101;0.4276;0;
Espoirb=Espoirb_101;0.4795;0;
Espoira=Espoira_101;0.4567;0;
Contfin=Contfin_101;0.2814;0;
Aise=Aise_101;0.331;0;
Chomagec=Chomagec_101;0.5934;0;
Chomageb=Chomageb_101;0.763;0;
Chomagea=Chomagea_101;0.9525;0;
Varif=Varif_101;0.6104;0;
Varic=Varic_101;0.8301;0;
Varib=Varib_101;1.2092;0;
Varia=Varia_101;0.669;0;
Patrib=Patrib_101;0.5495;0;
Ancons=Ancons_101;0.7104;0;
Htl=Htl_9;0.6006;0;
Nbphab=Nbphab_99;0.7772;0;
Nbrs=Nbrs_9;0.0091;0;
CS42PR=CS42PR_13;0.4609;0;
Chomageb=Chomageb_5;0.0011;0;
Surfhab=Surfhab_165;0.5906;0;
Surfhab=Surfhab_93;0.6251;0;
Surfhab=Surfhab_147;0.386;0;
Surfhab=Surfhab_54;0.3673;0;
Varia=Varia_9;0.4629;0;
Surfhab=Surfhab_210;0.3621;0;
Surfhab=Surfhab_148;0.6242;0;
Surfhab=Surfhab_218;0.6951;0;
Surfhab=Surfhab_169;0.5653;0;
Surfhab=Surfhab_91;0.4099;0;
CONFORT8=CONFORT8_1;0.1758;0;
Surfhab=Surfhab_10;0.4344;0;
Surfhab=Surfhab_196;0.8169;0;
Varic=Varic_9;0.3977;0;
CONFORT3=CONFORT3_0;0.0458;0;
Surfhab=Surfhab_190;0.2688;0;
DNIVIE2=DNIVIE2_8;0.0204;0;
Chomagec=Chomagec_99;0.0126;0;
Surfhab=Surfhab_142;0.4425;0;
Ancons=Ancons_7;0.1522;0;
Surfhab=Surfhab_81;0.3082;0;
Surfhab=Surfhab_136;0.2208;0;
Surfhab=Surfhab_166;0.3389;0;
Surfhab=Surfhab_105;0.1349;0;
Chomagec=Chomagec_1;0.0473;0;
NCOUPLES=NCOUPLES_2;0.0711;0;
Surfhab=Surfhab_65;0.1093;0;
decile.uc=decile.uc_3;0.0105;1e-04;
DECTYPO_2010=DECTYPO_2010_D0_3;0.0105;1e-04;
DECTYPO_2017=DECTYPO_2017_D0_3;0.0105;1e-04;
NENFACT=NENFACT_3;0.0352;5e-04;
CS42PR=CS42PR_31;0.2749;0.0013;
CONFORT.MOY=CONFORT.MOY_0;0.0634;0.002;
TYPMEN5=TYPMEN5_5;0.0332;0.0027;
CS42PR=CS42PR_85;0.2692;0.008;
TAU=TAU_5;-0.2587;0.0057;
decile.uc=decile.uc_10;-0.0089;5e-04;
DECTYPO_2010=DECTYPO_2010_D_10;-0.0089;5e-04;
DECTYPO_2017=DECTYPO_2017_D_10;-0.0089;5e-04;
Surfhab=Surfhab_153;-0.0225;1e-04;
Espoira=Espoira_12;-0.1568;0;
Surfhab=Surfhab_113;-0.0448;0;
Surfhab=Surfhab_88;-0.014;0;
Surfhab=Surfhab_101;-0.0424;0;
AGEPR=AGEPR_48;-0.1319;0;
Espoirb=Espoirb_4;-0.0757;0;
Surfhab=Surfhab_86;-0.0491;0;
Contfin=Contfin_9;-0.139;0;
Chomagec=Chomagec_3;-0.0602;0;
Espoira=Espoira_8;-0.1985;0;
CONFORT3=CONFORT3_1;-0.0458;0;
Chomageb=Chomageb_9;-0.0876;0;
AGEPR=AGEPR_46;-0.1615;0;
CONFORT8=CONFORT8_0;-0.1758;0;
Surfhab=Surfhab_92;-0.0211;0;
Surfhab=Surfhab_89;-0.1829;0;
AGEPR=AGEPR_52;-0.1675;0;
decile.uc=decile.uc_4;-0.0388;0;
DECTYPO_2010=DECTYPO_2010_D0_4;-0.0388;0;
DECTYPO_2017=DECTYPO_2017_D0_4;-0.0388;0;
