Dim.1
quanti
   ;correlation;p.value;
Varib=Varib_6;-0.4394;1e-04;
Surfhab=Surfhab_103;-0.049;1e-04;
Surfhab=Surfhab_19;-0.0503;0;
Surfhab=Surfhab_148;-0.1869;0;
Nbrs=Nbrs_0;-0.7293;0;
Surfhab=Surfhab_70;-0.1098;0;
CS42PR=CS42PR_35;-3e-04;0;
Chomagea=Chomagea_5;-0.3631;0;
AGEPR=AGEPR_91;-0.0926;0;
QNIVIE2=QNIVIE2_3;-0.0024;0;
AGEPR=AGEPR_93;-0.0433;0;
Surfhab=Surfhab_108;-0.0287;0;
Ancons=Ancons_4;-0.1819;0;
Htl=Htl_3;-0.5614;0;
Surfhab=Surfhab_46;-0.0552;0;
Surfhab=Surfhab_155;-0.2373;0;
CONFORT5=CONFORT5_0;-0.0048;0;
Espoirb=Espoirb_9;-0.1536;0;
Surfhab=Surfhab_93;-0.2095;0;
Surfhab=Surfhab_80;-0.1123;0;
Surfhab=Surfhab_92;-0.0646;0;
TUU=TUU_4;-0.0389;0;
Patrib=Patrib_13;-0.1491;0;
Aise=Aise_9;-0.217;0;
vehic=vehic_1;-0.0062;0;
DNIVIE2=DNIVIE2_7;-0.0078;0;
Surfhab=Surfhab_79;-0.1738;0;
Surfhab=Surfhab_87;-0.1451;0;
Surfhab=Surfhab_22;-0.2607;0;
typo.2.4.2017=typo.2.4.2017_4;-0.0146;0;
Contfin=Contfin_8;-0.5813;0;
stalog4=stalog4_4;-0.0073;0;
Surfhab=Surfhab_122;-0.2006;0;
CSP8PR=CSP8PR_0;-0.1726;0;
CS42PR=CS42PR_0;-0.1955;0;
AGEPR=AGEPR_17;-0.0847;0;
Patrib=Patrib_3;-0.1928;0;
typo2010.acp.2017=typo2010.acp.2017_4;-0.0152;0;
Surfhab=Surfhab_88;-0.1788;0;
Niveau=Niveau_3;-0.2744;0;
Surfhab=Surfhab_64;-0.1513;0;
Surfhab=Surfhab_112;-0.3069;0;
Surfhab=Surfhab_59;-0.2231;0;
Espoira=Espoira_10;-0.155;0;
Nbphab=Nbphab_9;-0.0952;0;
Varif=Varif_3;-0.375;0;
Surfhab=Surfhab_149;-0.3076;0;
Surfhab=Surfhab_65;-0.052;0;
AGEPR=AGEPR_85;-0.062;0;
Htl=Htl_5;-0.5773;0;
Surfhab=Surfhab_153;-0.3045;0;
Surfhab=Surfhab_28;-0.2902;0;
Surfhab=Surfhab_20;-0.0089;0;
Aise=Aise_5;-0.3842;0;
AGEPR=AGEPR_77;-0.0263;0;
Surfhab=Surfhab_96;-0.1817;0;
Patrib=Patrib_4;-0.1376;0;
CS42PR=CS42PR_65;-0.0127;0;
CONFORT7=CONFORT7_0;-0.0141;0;
AGEPR=AGEPR_55;-0.0137;0;
Surfhab=Surfhab_144;-0.2756;0;
Varic=Varic_2;-0.3527;0;
Surfhab=Surfhab_90;-0.1271;0;
NENFACT=NENFACT_3;-0.1611;0;
Surfhab=Surfhab_147;-0.2475;0;
Surfhab=Surfhab_111;-0.4236;0;
Surfhab=Surfhab_97;-0.2487;0;
AGEPR=AGEPR_86;-0.0489;0;
Varic=Varic_9;-0.257;0;
Chomageb=Chomageb_9;-0.1231;0;
AGEPR=AGEPR_84;-0.0708;0;
Espoirb=Espoirb_12;-0.2014;0;
pauvreté.50=pauvreté.50_1;-0.0177;0;
AGEPR=AGEPR_67;-0.0329;0;
TAU=TAU_99;-0.3801;0;
CATAEU=CATAEU_999;-0.3042;0;
Chomagec=Chomagec_1;-0.3178;0;
Patrib=Patrib_9;-0.2026;0;
Surfhab=Surfhab_218;-0.5445;0;
CS42PR=CS42PR_72;-0.0301;0;
Espoirb=Espoirb_6;-0.0961;0;
DNIVIE2=DNIVIE2_2;-0.0251;0;
AGEPR=AGEPR_78;-0.0944;0;
Surfhab=Surfhab_13;-0.4147;0;
Patrib=Patrib_2;-0.2067;0;
TYPLOG=TYPLOG_6;-0.3828;0;
Ancons=Ancons_6;-0.1396;0;
Surfhab=Surfhab_142;-0.5926;0;
Patrib=Patrib_10;-0.2041;0;
AGEPR=AGEPR_72;-0.0619;0;
Niveau=Niveau_4;-0.2963;0;
decile.uc=decile.uc_5;-0.029;0;
DECTYPO_2010=DECTYPO_2010_D0_5;-0.029;0;
DECTYPO_2017=DECTYPO_2017_D0_5;-0.029;0;
Contfin=Contfin_3;-0.4679;0;
Surfhab=Surfhab_117;-0.3475;0;
CONFORT6=CONFORT6_0;-0.0113;0;
Contfin=Contfin_9;-0.2366;0;
AGEPR=AGEPR_44;-0.0455;0;
AGEPR=AGEPR_75;-0.0842;0;
Surfhab=Surfhab_124;-0.4615;0;
Chomagec=Chomagec_9;-0.3814;0;
Surfhab=Surfhab_165;-0.4332;0;
Varia=Varia_2;-0.578;0;
Aise=Aise_4;-0.3796;0;
Nbrs=Nbrs_2;-0.6197;0;
Stalog=Stalog_2;-0.0224;0;
AGEPR=AGEPR_54;-0.0456;0;
Surfhab=Surfhab_197;-0.5136;0;
CONFORT.MOY=CONFORT.MOY_3;-0.3894;0;
Patrib=Patrib_98;-0.2635;0;
NENFANTS=NENFANTS_5;-0.083;0;
CS42PR=CS42PR_77;-0.0167;0;
Surfhab=Surfhab_72;-0.211;0;
Chomageb=Chomageb_5;-0.4607;0;
Chomagea=Chomagea_9;-0.4725;0;
Espoirb=Espoirb_8;-0.2077;0;
Varic=Varic_5;-0.3405;0;
Niveau=Niveau_1;-0.4446;0;
Patrib=Patrib_11;-0.2178;0;
CS42PR=CS42PR_34;-0.0475;0;
Surfhab=Surfhab_118;-0.2919;0;
Niveau=Niveau_6;-0.3581;0;
Espoira=Espoira_4;-0.224;0;
Patrib=Patrib_8;-0.2194;0;
Nbphab=Nbphab_13;-0.7857;0;
CONFORT.MOY=CONFORT.MOY_2;-0.5116;0;
DNIVIE2=DNIVIE2_6;-0.0392;0;
CS42PR=CS42PR_12;-0.1908;0;
SEXEPR=SEXEPR_2;-0.0147;0;
decile.uc=decile.uc_2;-0.0412;0;
DECTYPO_2010=DECTYPO_2010_D0_2;-0.0412;0;
DECTYPO_2017=DECTYPO_2017_D0_2;-0.0412;0;
Surfhab=Surfhab_109;-0.4702;0;
pauvrete.60=pauvrete.60_1;-0.0223;0;
AGEPR=AGEPR_87;-0.3713;0;
Surfhab=Surfhab_89;-0.4123;0;
Espoirb=Espoirb_4;-0.0871;0;
Varic=Varic_4;-0.3442;0;
CS42PR=CS42PR_52;-0.0421;0;
AGEPR=AGEPR_51;-0.0685;0;
Varib=Varib_3;-0.427;0;
Espoira=Espoira_12;-0.2804;0;
Chomagea=Chomagea_99;-0.3576;0;
Varib=Varib_4;-0.4387;0;
Surfhab=Surfhab_169;-0.716;0;
Espoira=Espoira_5;-0.1037;0;
Surfhab=Surfhab_190;-0.3984;0;
Espoirb=Espoirb_1;-0.2502;0;
Chomagea=Chomagea_3;-0.2759;0;
Surfhab=Surfhab_250;-0.4973;0;
Varia=Varia_9;-0.1801;0;
Surfhab=Surfhab_40;-0.2796;0;
CSP8PR=CSP8PR_1;-0.0931;0;
CS42PR=CS42PR_13;-0.1725;0;
Chomageb=Chomageb_4;-0.1831;0;
Surfhab=Surfhab_128;-0.8226;0;
CONFORT4=CONFORT4_0;-0.0692;0;
Niveau=Niveau_9;-0.5032;0;
Surfhab=Surfhab_45;-0.2462;0;
Surfhab=Surfhab_115;-0.3674;0;
Niveau=Niveau_5;-0.3941;0;
Niveau=Niveau_2;-0.0502;0;
Espoirb=Espoirb_99;-0.3722;0;
Espoirb=Espoirb_11;-0.0881;0;
Espoirb=Espoirb_10;-0.2159;0;
Espoirb=Espoirb_5;-0.2976;0;
Espoirb=Espoirb_3;-0.0707;0;
Espoirb=Espoirb_2;-0.2723;0;
Espoira=Espoira_11;-0.1236;0;
Espoira=Espoira_9;-0.0969;0;
Espoira=Espoira_8;-0.3044;0;
Espoira=Espoira_7;-0.2286;0;
Espoira=Espoira_2;-0.3005;0;
Espoira=Espoira_1;-0.2741;0;
Contfin=Contfin_2;-0.4833;0;
Contfin=Contfin_1;-0.3845;0;
Aise=Aise_3;-0.4575;0;
Aise=Aise_2;-0.2896;0;
Aise=Aise_1;-0.1516;0;
Chomagec=Chomagec_99;-0.2398;0;
Chomagec=Chomagec_4;-0.4828;0;
Chomagec=Chomagec_3;-0.4543;0;
Chomageb=Chomageb_99;-0.2984;0;
Chomageb=Chomageb_2;-0.4625;0;
Chomageb=Chomageb_1;-0.4064;0;
Chomagea=Chomagea_4;-0.1239;0;
Chomagea=Chomagea_2;-0.2778;0;
Chomagea=Chomagea_1;-0.3912;0;
Varif=Varif_9;-0.4454;0;
Varif=Varif_5;-0.3192;0;
Varif=Varif_4;-0.4813;0;
Varif=Varif_2;-0.3105;0;
Varif=Varif_1;-0.2859;0;
Varic=Varic_6;-0.2379;0;
Varic=Varic_3;-0.4597;0;
Varic=Varic_1;-0.239;0;
Varib=Varib_2;-0.3345;0;
Varib=Varib_1;-0.1328;0;
Varia=Varia_1;-0.6136;0;
Patrib=Patrib_99;-0.2896;0;
Patrib=Patrib_14;-0.0539;0;
Patrib=Patrib_12;-0.3842;0;
Patrib=Patrib_7;-0.3223;0;
Patrib=Patrib_6;-0.0406;0;
stalog4=stalog4_1;-0.094;0;
Stalog=Stalog_3;-0.2577;0;
Stalog=Stalog_1;-0.1191;0;
CONFORT.MOY=CONFORT.MOY_5;-0.1185;0;
CONFORT.MOY=CONFORT.MOY_1;-0.2867;0;
CONFORT8=CONFORT8_1;-0.4028;0;
CONFORT2=CONFORT2_0;-0.129;0;
CONFORT1=CONFORT1_1;-0.226;0;
Ancons=Ancons_10;-0.7225;0;
Ancons=Ancons_9;-0.3466;0;
Ancons=Ancons_8;-0.264;0;
Ancons=Ancons_7;-0.0793;0;
Ancons=Ancons_5;-0.1048;0;
Ancons=Ancons_2;-0.2809;0;
Ancons=Ancons_1;-0.2176;0;
Htl=Htl_8;-0.1446;0;
Htl=Htl_2;-0.2829;0;
Htl=Htl_1;-0.5929;0;
Surfhab=Surfhab_999;-0.3129;0;
Surfhab=Surfhab_350;-1.353;0;
Surfhab=Surfhab_300;-0.8698;0;
Surfhab=Surfhab_234;-1.4513;0;
Surfhab=Surfhab_230;-0.8037;0;
Surfhab=Surfhab_210;-0.7578;0;
Surfhab=Surfhab_180;-0.2655;0;
Surfhab=Surfhab_170;-0.3777;0;
Surfhab=Surfhab_160;-0.4714;0;
Surfhab=Surfhab_150;-0.4725;0;
Surfhab=Surfhab_145;-0.7301;0;
Surfhab=Surfhab_140;-0.3794;0;
Surfhab=Surfhab_127;-0.8643;0;
Surfhab=Surfhab_125;-0.5481;0;
Surfhab=Surfhab_120;-0.3297;0;
Surfhab=Surfhab_116;-0.768;0;
Surfhab=Surfhab_113;-0.9952;0;
Surfhab=Surfhab_110;-0.328;0;
Surfhab=Surfhab_107;-0.9183;0;
Surfhab=Surfhab_105;-0.5945;0;
Surfhab=Surfhab_100;-0.1963;0;
Surfhab=Surfhab_95;-0.3274;0;
Surfhab=Surfhab_94;-0.5791;0;
Surfhab=Surfhab_85;-0.2377;0;
Surfhab=Surfhab_82;-0.6117;0;
Surfhab=Surfhab_75;-0.4037;0;
Surfhab=Surfhab_62;-0.4746;0;
Surfhab=Surfhab_57;-0.363;0;
Surfhab=Surfhab_18;-0.7592;0;
Surfhab=Surfhab_10;-0.9016;0;
Nbphab=Nbphab_10;-0.6057;0;
Nbphab=Nbphab_7;-0.3461;0;
Nbphab=Nbphab_6;-0.4068;0;
Nbphab=Nbphab_5;-0.2851;0;
Nbphab=Nbphab_4;-0.276;0;
Nbphab=Nbphab_2;-0.0038;0;
Nbphab=Nbphab_1;-0.0407;0;
Nbrs=Nbrs_1;-0.8022;0;
Existrs=Existrs_1;-0.0523;0;
TAU=TAU_7;-0.0328;0;
TAU=TAU_6;-0.1397;0;
TAU=TAU_2;-0.3816;0;
TAU=TAU_0;-0.0724;0;
CATAEU=CATAEU_400;-0.0728;0;
CATAEU=CATAEU_212;-0.3617;0;
CATAEU=CATAEU_120;-0.0072;0;
TUU=TUU_5;-0.201;0;
TUU=TUU_1;-0.1177;0;
TUU=TUU_0;-0.1965;0;
TYPLOG=TYPLOG_4;-0.0392;0;
TYPLOG=TYPLOG_2;-0.3504;0;
TYPLOG=TYPLOG_1;-0.2813;0;
TYPVOIS=TYPVOIS_2;-0.1962;0;
TYPVOIS=TYPVOIS_1;-0.1934;0;
CSP8PR=CSP8PR_8;-0.3109;0;
CS42PR=CS42PR_86;-0.2892;0;
CS42PR=CS42PR_85;-0.2903;0;
CS42PR=CS42PR_84;-0.4367;0;
CS42PR=CS42PR_78;-0.1462;0;
CS42PR=CS42PR_68;-0.299;0;
CS42PR=CS42PR_54;-0.0921;0;
CS42PR=CS42PR_48;-0.1759;0;
CS42PR=CS42PR_42;-0.1462;0;
CS42PR=CS42PR_33;-0.3547;0;
CS42PR=CS42PR_23;-0.3412;0;
CS42PR=CS42PR_21;-0.2087;0;
AGEPR=AGEPR_90;-0.2914;0;
AGEPR=AGEPR_89;-0.5338;0;
AGEPR=AGEPR_83;-0.2834;0;
AGEPR=AGEPR_82;-0.4314;0;
AGEPR=AGEPR_80;-0.3557;0;
AGEPR=AGEPR_79;-0.2449;0;
AGEPR=AGEPR_74;-0.5018;0;
AGEPR=AGEPR_73;-0.2011;0;
AGEPR=AGEPR_59;-0.1509;0;
AGEPR=AGEPR_57;-0.157;0;
AGEPR=AGEPR_52;-0.1203;0;
AGEPR=AGEPR_46;-0.3263;0;
AGEPR=AGEPR_43;-0.2728;0;
AGEPR=AGEPR_42;-0.353;0;
AGEPR=AGEPR_41;-0.5684;0;
AGEPR=AGEPR_34;-0.1866;0;
AGEPR=AGEPR_19;-0.7373;0;
AGEPR=AGEPR_18;-0.7688;0;
TYPMEN5=TYPMEN5_5;-0.1728;0;
TYPMEN5=TYPMEN5_4;-0.164;0;
TYPMEN5=TYPMEN5_2;-0.0453;0;
NENFACT=NENFACT_1;-0.0612;0;
NACTIFS=NACTIFS_3;-0.2664;0;
NACTIFS=NACTIFS_2;-0.2098;0;
NACTIFS=NACTIFS_0;-0.2107;0;
NENFANTS=NENFANTS_6;-0.9791;0;
NENFANTS=NENFANTS_3;-0.0436;0;
NCOUPLES=NCOUPLES_1;-0.1408;0;
NPERS=NPERS_8;-1.0421;0;
NPERS=NPERS_7;-0.1178;0;
NPERS=NPERS_6;-0.007;0;
NPERS=NPERS_5;-0.0713;0;
DNIVIE2=DNIVIE2_4;-0.1416;0;
DNIVIE2=DNIVIE2_3;-0.2497;0;
DNIVIE2=DNIVIE2_1;-0.0652;0;
QNIVIE2=QNIVIE2_2;-0.1934;0;
QNIVIE2=QNIVIE2_1;-0.0449;0;
decile.uc=decile.uc_4;-0.1259;0;
decile.uc=decile.uc_3;-0.2262;0;
decile.uc=decile.uc_1;-0.0688;0;
DECTYPO_2010=DECTYPO_2010_D0_4;-0.1259;0;
DECTYPO_2010=DECTYPO_2010_D0_3;-0.2262;0;
DECTYPO_2010=DECTYPO_2010_D0_1;-0.0688;0;
DECTYPO_2017=DECTYPO_2017_D0_4;-0.1259;0;
DECTYPO_2017=DECTYPO_2017_D0_3;-0.2262;0;
DECTYPO_2017=DECTYPO_2017_D0_1;-0.0688;0;
typo2010.acp.2017=typo2010.acp.2017_3;-0.0605;0;
typo.2.4.2017=typo.2.4.2017_3;-0.0842;0;

Dim.7
quanti
   ;correlation;p.value;
w.television;0.6382;0;
television;0.548;0;
w.cantines;0.3418;0;
cantines;0.2837;0;
C14;0.1258;0;
Axe.5;0.112;0;
w.revpat;0.1068;0;
w.revsoc;0.1047;0;
PREST_FAM_TOT;0.0883;0;
REVSOC;0.082;0;
REVPAT;0.078;0;
CHOMAGE;0.0555;0;
w.deplogpreng;0.0463;0;
w.logtot;0.0463;0;
TAXHAB_M;0.041;0;
RETRAITES;0.0389;0;
w.log.non.ener;0.0358;0;
C11;0.0281;0;
C10;0.0258;0;
REV700;0.024;0;
C06;0.0217;0;
COEFFUC;0.019;0;
w.depreng;0.0159;0;
w.enerdircontr;0.0156;0;
C09;0.0124;0;
C02;0.0095;0;
Axe.2;0.0094;0;
REV702;0.0076;0;
C05;0.0047;0;
C01;0.0028;0;
deplogtot;-0.0017;0.001;
C04;-0.0017;0.001;
log.non.ener;-0.0018;5e-04;
Axe.1;-0.0027;0;
REVEXC;-0.0027;0;
w.enerdomtot;-0.0053;0;
Rmini;-0.008;0;
C03;-0.0089;0;
revaide;-0.0091;0;
depreng;-0.0164;0;
REV701;-0.0236;0;
Axe.3;-0.0307;0;
revlibdisp;-0.0313;0;
w.revaide;-0.0324;0;
REVDISP;-0.0329;0;
revtotlib;-0.0342;0;
Rmini_I;-0.0344;0;
w.enerdir;-0.0346;0;
REVTOT;-0.0354;0;
deptot;-0.0361;0;
revlibdispuc;-0.0401;0;
enerdir;-0.041;0;
w.carbu;-0.0413;0;
revtotlibuc;-0.0421;0;
NIVIE;-0.0433;0;
redispuc;-0.0433;0;
C13;-0.0443;0;
revtotuc;-0.0445;0;
IMPOTREV_M;-0.0461;0;
pondmen.cs24.NPERS_84;-0.0475;0;
C07;-0.0483;0;
w.depenerpreng;-0.0502;0;
ctot113;-0.0505;0;
carburant;-0.0512;0;
pondmen.cs24_84;-0.0534;0;
pondmen;-0.0537;0;
SALAIRES;-0.056;0;
revdiv;-0.0606;0;
Axe.4;-0.0699;0;
REVACT.1;-0.0807;0;
REVACT;-0.0807;0;
C12;-0.0821;0;
REVINDEP;-0.0873;0;
w.revdiv;-0.1057;0;
w.revact;-0.1128;0;
assurances;-0.1633;0;
w.assurances;-0.1888;0;
C08;-0.3596;0;
commo;-0.3596;0;
w.commo;-0.4108;0;

quali
   ;R2;p.value;
pauvreté.50;7e-04;0;
pauvrete.60;0.0013;0;
typo.2.4.2017;0.0086;0;
typo2010.acp.2017;0.0115;0;
DECTYPO_2017;0.0039;0;
DECTYPO_2010;0.0039;0;
decile.uc;0.0039;0;
QNIVIE2;0.0045;0;
DNIVIE2;0.0064;0;
NPERS;0.0147;0;
NCOUPLES;0.0029;0;
NENFANTS;0.0212;0;
NACTIFS;0.0157;0;
NENFACT;0.0156;0;
TYPMEN5;0.0205;0;
AGEPR;0.0713;0;
CS42PR;0.0513;0;
CSP8PR;0.0205;0;
TYPVOIS;0.0139;0;
TYPLOG;0.0362;0;
TUU;0.0163;0;
CATAEU;0.0197;0;
TAU;0.0211;0;
Existrs;9e-04;0;
Nbrs;0.0109;0;
Nbphab;0.0143;0;
Surfhab;0.1218;0;
Htl;0.0216;0;
Ancons;0.0212;0;
CONFORT2;0.0074;0;
CONFORT3;0.0034;0;
CONFORT4;0.0057;0;
CONFORT5;0.0053;0;
CONFORT6;5e-04;0;
CONFORT.MOY;0.015;0;
Stalog;0.0084;0;
stalog4;0.0029;0;
vehic;0.0011;0;
Patrib;0.0311;0;
Varia;0.0111;0;
Varib;0.0127;0;
Varic;0.013;0;
Varif;0.0119;0;
Chomagea;0.0159;0;
Chomageb;0.0156;0;
Chomagec;0.0262;0;
Aise;0.0203;0;
Contfin;0.0126;0;
Espoira;0.0225;0;
Espoirb;0.0176;0;
Niveau;0.0139;0;
SEXEPR;2e-04;0;
CONFORT7;1e-04;0;
CONFORT8;0;0;
CONFORT1;0;0.0028;

category
   ;Estimate;p.value;
Niveau=Niveau_9;0.1176;0;
Niveau=Niveau_6;0.5639;0;
Niveau=Niveau_5;0.4434;0;
Niveau=Niveau_4;0.4085;0;
Niveau=Niveau_2;0.2882;0;
Espoirb=Espoirb_9;0.2851;0;
Espoirb=Espoirb_4;0.1146;0;
Espoirb=Espoirb_3;0.1179;0;
Espoirb=Espoirb_2;0.3405;0;
Espoira=Espoira_12;0.0308;0;
Espoira=Espoira_11;0.2858;0;
Espoira=Espoira_9;0.2844;0;
Espoira=Espoira_6;0.3654;0;
Espoira=Espoira_3;0.1093;0;
Espoira=Espoira_1;0.3692;0;
Contfin=Contfin_8;1.2227;0;
Contfin=Contfin_3;0.3289;0;
Aise=Aise_4;0.897;0;
Aise=Aise_2;0.7401;0;
Chomagec=Chomagec_99;0.6839;0;
Chomagec=Chomagec_5;0.1352;0;
Chomagec=Chomagec_4;0.3883;0;
Chomagec=Chomagec_3;0.4242;0;
Chomagec=Chomagec_2;0.1559;0;
Chomagec=Chomagec_1;0.4537;0;
Chomageb=Chomageb_99;0.5307;0;
Chomageb=Chomageb_5;0.2701;0;
Chomageb=Chomageb_4;0.3076;0;
Chomageb=Chomageb_2;0.3889;0;
Chomageb=Chomageb_1;0.431;0;
Chomagea=Chomagea_99;0.4504;0;
Chomagea=Chomagea_5;0.1704;0;
Chomagea=Chomagea_4;0.504;0;
Chomagea=Chomagea_3;0.2671;0;
Chomagea=Chomagea_1;0.3223;0;
Varif=Varif_5;0.326;0;
Varif=Varif_3;0.4509;0;
Varic=Varic_9;0.7234;0;
Varic=Varic_6;0.1753;0;
Varic=Varic_5;0.3607;0;
Varic=Varic_1;0.2515;0;
Varib=Varib_6;0.1716;0;
Varib=Varib_4;0.3998;0;
Varib=Varib_3;0.4785;0;
Varib=Varib_1;0.3267;0;
Varia=Varia_8;1.2406;0;
Patrib=Patrib_13;0.3657;0;
Patrib=Patrib_11;0.0596;0;
Patrib=Patrib_6;0.3315;0;
Patrib=Patrib_5;0.0613;0;
Patrib=Patrib_4;0.0114;0;
Patrib=Patrib_1;0.351;0;
vehic=vehic_2;0.0425;0;
stalog4=stalog4_3;0.0455;0;
Stalog=Stalog_6;0.3776;0;
Stalog=Stalog_4;0.1452;0;
Stalog=Stalog_2;0.0306;0;
CONFORT.MOY=CONFORT.MOY_6;0.5781;0;
CONFORT.MOY=CONFORT.MOY_5;0.4435;0;
CONFORT.MOY=CONFORT.MOY_4;0.6086;0;
CONFORT.MOY=CONFORT.MOY_1;0.1202;0;
CONFORT6=CONFORT6_1;0.0198;0;
CONFORT5=CONFORT5_1;0.0937;0;
CONFORT4=CONFORT4_1;0.2577;0;
CONFORT3=CONFORT3_1;0.2189;0;
CONFORT2=CONFORT2_1;0.2786;0;
Ancons=Ancons_9;0.2585;0;
Ancons=Ancons_8;0.2674;0;
Ancons=Ancons_7;0.1039;0;
Ancons=Ancons_6;0.2643;0;
Ancons=Ancons_5;0.2573;0;
Ancons=Ancons_3;0.2906;0;
Ancons=Ancons_1;0.0411;0;
Htl=Htl_8;0.9672;0;
Htl=Htl_2;0.6959;0;
Htl=Htl_1;0.5673;0;
Surfhab=Surfhab_390;1.8543;0;
Surfhab=Surfhab_350;0.7374;0;
Surfhab=Surfhab_340;2.1331;0;
Surfhab=Surfhab_307;1.0609;0;
Surfhab=Surfhab_300;0.8549;0;
Surfhab=Surfhab_260;0.8181;0;
Surfhab=Surfhab_220;0.8117;0;
Surfhab=Surfhab_197;0.6467;0;
Surfhab=Surfhab_185;0.9641;0;
Surfhab=Surfhab_170;0.3091;0;
Surfhab=Surfhab_150;0.125;0;
Surfhab=Surfhab_140;0.1854;0;
Surfhab=Surfhab_122;0.451;0;
Surfhab=Surfhab_120;0.0699;0;
Surfhab=Surfhab_119;0.6002;0;
Surfhab=Surfhab_113;0.9281;0;
Surfhab=Surfhab_108;0.5177;0;
Surfhab=Surfhab_92;0.1694;0;
Surfhab=Surfhab_91;1.0763;0;
Surfhab=Surfhab_82;0.4051;0;
Surfhab=Surfhab_81;0.7452;0;
Surfhab=Surfhab_75;0.204;0;
Surfhab=Surfhab_73;0.5532;0;
Surfhab=Surfhab_66;0.3977;0;
Surfhab=Surfhab_64;0.5571;0;
Surfhab=Surfhab_62;0.2887;0;
Surfhab=Surfhab_61;0.4787;0;
Surfhab=Surfhab_60;0.6294;0;
Surfhab=Surfhab_54;0.7557;0;
Surfhab=Surfhab_41;0.6034;0;
Surfhab=Surfhab_38;0.8608;0;
Surfhab=Surfhab_31;1.9117;0;
Surfhab=Surfhab_28;0.5724;0;
Surfhab=Surfhab_26;0.5567;0;
Surfhab=Surfhab_20;0.256;0;
Surfhab=Surfhab_19;0.4399;0;
Nbphab=Nbphab_7;0.4043;0;
Nbphab=Nbphab_5;0.1356;0;
Nbphab=Nbphab_3;0.2582;0;
Nbrs=Nbrs_2;0.3565;0;
Existrs=Existrs_1;0.0484;0;
TAU=TAU_9;0.0496;0;
TAU=TAU_8;0.0431;0;
CATAEU=CATAEU_112;0.1267;0;
CATAEU=CATAEU_111;0.1239;0;
TUU=TUU_7;0.0639;0;
TUU=TUU_6;0.0691;0;
TUU=TUU_3;0.1289;0;
TUU=TUU_1;0.054;0;
TYPLOG=TYPLOG_7;2.5873;0;
TYPVOIS=TYPVOIS_4;0.1608;0;
TYPVOIS=TYPVOIS_3;0.066;0;
CSP8PR=CSP8PR_99;0.5414;0;
CSP8PR=CSP8PR_7;0.0952;0;
CSP8PR=CSP8PR_5;0.162;0;
CSP8PR=CSP8PR_2;0.2387;0;
CS42PR=CS42PR_99;0.5733;0;
CS42PR=CS42PR_85;0.4207;0;
CS42PR=CS42PR_77;0.2204;0;
CS42PR=CS42PR_75;0.1624;0;
CS42PR=CS42PR_68;0.5364;0;
CS42PR=CS42PR_55;0.2785;0;
CS42PR=CS42PR_54;0.3654;0;
CS42PR=CS42PR_52;0.1927;0;
CS42PR=CS42PR_33;0.3762;0;
CS42PR=CS42PR_31;0.297;0;
CS42PR=CS42PR_23;0.4773;0;
CS42PR=CS42PR_21;0.334;0;
AGEPR=AGEPR_93;0.5566;0;
AGEPR=AGEPR_77;0.2316;0;
AGEPR=AGEPR_76;0.4577;0;
AGEPR=AGEPR_66;0.2191;0;
AGEPR=AGEPR_65;0.1453;0;
AGEPR=AGEPR_64;0.3671;0;
AGEPR=AGEPR_63;0.1594;0;
AGEPR=AGEPR_53;0.1994;0;
AGEPR=AGEPR_49;0.6358;0;
AGEPR=AGEPR_45;0.2777;0;
AGEPR=AGEPR_44;0.241;0;
AGEPR=AGEPR_43;0.1675;0;
AGEPR=AGEPR_41;0.4925;0;
AGEPR=AGEPR_40;0.1671;0;
AGEPR=AGEPR_38;0.3166;0;
AGEPR=AGEPR_35;0.1868;0;
AGEPR=AGEPR_30;0.3531;0;
AGEPR=AGEPR_29;0.4257;0;
AGEPR=AGEPR_21;0.4242;0;
TYPMEN5=TYPMEN5_2;0.3714;0;
NENFACT=NENFACT_2;0.0203;0;
NENFACT=NENFACT_1;0.1634;0;
NENFACT=NENFACT_0;0.5235;0;
NACTIFS=NACTIFS_2;0.1277;0;
NACTIFS=NACTIFS_1;0.2572;0;
NACTIFS=NACTIFS_0;0.2254;0;
NENFANTS=NENFANTS_6;1.8967;0;
NENFANTS=NENFANTS_2;0.0399;0;
NCOUPLES=NCOUPLES_1;0.1026;0;
NCOUPLES=NCOUPLES_0;0.1889;0;
NPERS=NPERS_8;1.8616;0;
DNIVIE2=DNIVIE2_2;0.1475;0;
DNIVIE2=DNIVIE2_1;0.0726;0;
QNIVIE2=QNIVIE2_1;0.1126;0;
decile.uc=decile.uc_2;0.097;0;
decile.uc=decile.uc_1;0.1016;0;
DECTYPO_2010=DECTYPO_2010_D0_2;0.097;0;
DECTYPO_2010=DECTYPO_2010_D0_1;0.1016;0;
DECTYPO_2017=DECTYPO_2017_D0_2;0.097;0;
DECTYPO_2017=DECTYPO_2017_D0_1;0.1016;0;
typo2010.acp.2017=typo2010.acp.2017_4;0.0112;0;
typo2010.acp.2017=typo2010.acp.2017_2;0.1708;0;
typo.2.4.2017=typo.2.4.2017_4;0.0221;0;
typo.2.4.2017=typo.2.4.2017_2;0.1396;0;
pauvrete.60=pauvrete.60_1;0.047;0;
pauvreté.50=pauvreté.50_1;0.0458;0;
AGEPR=AGEPR_68;0.1396;0;
Surfhab=Surfhab_63;0.1761;0;
Nbphab=Nbphab_1;0.2957;0;
