"année";"nom territoire";"code insee";"nom commune";"secteur";"énergie";"usage";"valeur (GWh)"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Electricité";"Froid";"0,828505665610387"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Electricité";"Lavage";"0,960776549982233"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Electricité";"Tous usages";"6,78314739459487"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"ENRt";"Chauffage";"4,79446707067592"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"ENRt";"Tous usages";"4,79446707067592"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Gaz";"Chauffage";"3,17973162244869"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Gaz";"Cuisson";"0,286682425187137"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Gaz";"ECS";"0,568265829140998"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Gaz";"Tous usages";"4,03467987677683"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"PP";"Chauffage";"1,79375924662891"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"PP";"Cuisson";"0,264333517950792"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"PP";"ECS";"0,226010672390831"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"PP";"Loisirs";"0,144945118885087"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"PP";"Tous usages";"2,42904855585562"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"Autre électricité spécifique";"1,76374458828678"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"Chauffage";"10,4504887396167"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"Cuisson";"1,16862969519361"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"Eclairage";"0,430363694958397"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"ECS";"2,29388884537001"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"Froid";"0,828505665610387"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"Lavage";"0,960776549982233"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"Loisirs";"0,144945118885087"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Résidentiel";"Toutes énergies";"Tous usages";"18,0413428979032"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Electricité";"Autres usages";"0,124423612430963"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Electricité";"Chauffage";"0,855880595712559"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Electricité";"Climatisation";"0,733510240187136"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Electricité";"Cuisson";"0,0917456835086957"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Electricité";"Eclairage public";"0,167557187372889"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Electricité";"ECS";"0,218286709727348"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Electricité";"Electricité spécifique";"2,09552249315597"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Electricité";"Tous usages";"4,28692652209556"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"ENRt";"Autres usages";"0,020491643802866"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"ENRt";"Chauffage";"0,0547836167425735"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"ENRt";"Cuisson";"0,0105230982583052"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"ENRt";"ECS";"0,00735461662971283"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"ENRt";"Tous usages";"0,0931529754334575"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Gaz";"Autres usages";"0,31189009132623"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Gaz";"Chauffage";"3,64450514667478"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Gaz";"Cuisson";"0,155813514716173"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Gaz";"ECS";"0,466915419522948"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Gaz";"Tous usages";"4,57912417224013"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"PP";"Autres usages";"0,16387923893717"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"PP";"Chauffage";"0,630871014826317"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"PP";"Cuisson";"0,0122452451151689"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"PP";"ECS";"0,074062457256025"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"PP";"Tous usages";"0,881057956134681"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Toutes énergies";"Autres usages";"0,620684586497229"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Toutes énergies";"Chauffage";"5,18604037395623"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Toutes énergies";"Climatisation";"0,733510240187136"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Toutes énergies";"Cuisson";"0,270327541598343"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Toutes énergies";"Eclairage public";"0,167557187372889"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Toutes énergies";"ECS";"0,766619203136034"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Toutes énergies";"Electricité spécifique";"2,09552249315597"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tertiaire";"Toutes énergies";"Tous usages";"9,84026162590383"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tous secteurs hors branche énergie";"Electricité";"Tous usages";"13,3082967139457"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tous secteurs hors branche énergie";"ENRt";"Tous usages";"4,94995511370274"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tous secteurs hors branche énergie";"Gaz";"Tous usages";"9,05461024119006"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tous secteurs hors branche énergie";"Organo-carburants";"Tous usages";"1,06757617959227"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tous secteurs hors branche énergie";"PP";"Tous usages";"22,5982734459482"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Tous secteurs hors branche énergie";"Toutes énergies";"Tous usages";"50,978711694379"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Electricité";"Tous usages";"0,0102770087730813"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Electricité";"Transport de marchandises";"0,00596614958631808"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Electricité";"Transport de personnes";"0,00431085918676324"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Organo-carburants";"Tous usages";"1,02264053732679"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Organo-carburants";"Transport de marchandises";"0,333409794116159"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Organo-carburants";"Transport de personnes";"0,689230743210634"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"PP";"Tous usages";"12,7346117129431"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"PP";"Transport de marchandises";"4,27949649670106"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"PP";"Transport de personnes";"8,45511521624205"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Toutes énergies";"Tous usages";"13,767529259043"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Toutes énergies";"Transport de marchandises";"4,61887244040354"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26011";"Aouste-sur-Sye";"Transport routier";"Toutes énergies";"Transport de personnes";"9,14865681863945"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"Electricité";"Agricole - Exploitations sf élec spé lait";"0,0174461992176674"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"Electricité";"Tous usages";"0,0174461992176674"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"Organo-carburants";"Agricole - engins";"0,0115789500490168"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"Organo-carburants";"Tous usages";"0,0115789500490168"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"PP";"Agricole - engins";"0,13014316079362"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"PP";"Agricole - Exploitations sf élec spé lait";"0,0113947494883074"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"PP";"Tous usages";"0,141537910281927"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"Toutes énergies";"Agricole - engins";"0,141722110842636"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"Toutes énergies";"Agricole - Exploitations sf élec spé lait";"0,0288409487059748"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Agriculture, sylviculture et aquaculture";"Toutes énergies";"Tous usages";"0,170563059548611"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Autres transports";"Organo-carburants";"Tous usages";"0,00508899833323148"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Autres transports";"Organo-carburants";"Transport de personnes";"0,00508899833323148"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Autres transports";"PP";"Tous usages";"0,0610018891113333"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Autres transports";"PP";"Transport de personnes";"0,0610018891113333"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Autres transports";"Toutes énergies";"Tous usages";"0,0660908874445648"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Autres transports";"Toutes énergies";"Transport de personnes";"0,0660908874445648"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Electricité";"Autre électricité spécifique";"0,0501819273874357"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Electricité";"Chauffage";"0,0230914900281898"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Electricité";"Cuisson";"0,0193838548479129"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Electricité";"Eclairage";"0,0123466423138479"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Electricité";"ECS";"0,0514880447077301"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Electricité";"Froid";"0,0237888096248068"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Electricité";"Lavage";"0,0276228415508186"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Electricité";"Tous usages";"0,207903610460742"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"ENRt";"Chauffage";"0,285027191734888"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"ENRt";"Tous usages";"0,285027191734888"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"PP";"Cuisson";"0,00927282592970194"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"PP";"Loisirs";"0,00407134426639279"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"PP";"Tous usages";"0,0133441701960947"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"Autre électricité spécifique";"0,0501819273874357"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"Chauffage";"0,308118681763078"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"Cuisson";"0,0286566807776148"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"Eclairage";"0,0123466423138479"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"ECS";"0,0514880447077301"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"Froid";"0,0237888096248068"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"Lavage";"0,0276228415508186"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"Loisirs";"0,00407134426639279"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Résidentiel";"Toutes énergies";"Tous usages";"0,506274972391724"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Electricité";"Chauffage";"0,00197972127128058"
